                         	alpine sea holly	anthurium	artichoke	azalea	ball moss	balloon flower	barbeton daisy	bearded iris	bee balm	bird of paradise	bishop of llandaff	black-eyed susan	blackberry lily	blanket flower	bolero deep blue	bougainvillea	bromelia	buttercup	californian poppy	camellia	canna lily	canterbury bells	cape flower	carnation	cautleya spicata	clematis	colt's foot	columbine	common dandelion	corn poppy	cyclamen	daffodil	desert-rose	english marigold	fire lily	foxglove	frangipani	fritillary	garden phlox	gaura	gazania	geranium	giant white arum lily	globe thistle	globe-flower	grape hyacinth	great masterwort	hard-leaved pocket orchid	hibiscus	hippeastrum	japanese anemone	king protea	lenten rose	lotus	love in the mist	magnolia	mallow	marigold	mexican aster	mexican petunia	monkshood	moon orchid	morning glory	orange dahlia	osteospermum	oxeye daisy	passion flower	pelargonium	peruvian lily	petunia	pincushion flower	pink primrose	pink-yellow dahlia	poinsettia	primula	prince of wales feathers	purple coneflower	red ginger	rose	ruby-lipped cattleya	siam tulip	silverbush	snapdragon	spear thistle	spring crocus	stemless gentian	sunflower	sweet pea	sweet william	sword lily	thorn apple	tiger lily	toad lily	tree mallow	tree poppy	trumpet creeper	wallflower	water lily	watercress	wild pansy	windflower	yellow iris
alpine sea holly         	2.0             	0.0      	1.0      	0.0   	1.0      	0.0           	5.0           	0.0         	1.0     	1.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	4.0        	0.0      	2.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	3.0     	2.0       	0.0       	0.0         	0.0  	5.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	1.0     	1.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	1.0          	1.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	16.0          	0.0        	0.0          	0.0    	0.0              	1.0          	0.0               	0.0       	0.0    	1.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	1.0          	1.0             	2.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	2.0        	0.0       	0.0            	0.0       	0.0       	1.0       	0.0       	0.0       	1.0        
anthurium                	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
artichoke                	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
azalea                   	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
ball moss                	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
balloon flower           	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
barbeton daisy           	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	1.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	1.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
bearded iris             	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	3.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	1.0      	0.0              	1.0     	1.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	1.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	1.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	1.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	1.0      	0.0        	1.0       	0.0            	0.0       	0.0       	0.0       	2.0       	1.0       	0.0        
bee balm                 	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	1.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	2.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	1.0       	1.0          	0.0          	2.0             	0.0      	0.0      	1.0          	0.0       	0.0        	1.0       	0.0      	0.0        	0.0       	0.0            	1.0       	0.0       	0.0       	0.0       	0.0       	0.0        
bird of paradise         	0.0             	0.0      	0.0      	0.0   	0.0      	0.0           	0.0           	0.0         	0.0     	0.0             	0.0               	0.0             	0.0            	0.0           	0.0             	0.0          	0.0     	0.0      	0.0              	0.0     	0.0       	0.0             	0.0        	0.0      	0.0             	0.0     	0.0        	0.0      	0.0             	0.0       	0.0     	0.0     	0.0        	0.0             	0.0      	0.0     	0.0       	0.0       	0.0         	0.0  	0.0    	0.0     	0.0                  	0.0          	0.0         	0.0           	0.0             	0.0                      	0.0     	0.0        	0.0             	0.0        	0.0        	0.0  	0.0             	0.0     	0.0   	0.0     	0.0          	0.0            	0.0      	0.0        	0.0          	0.0          	0.0         	0.0        	0.0           	0.0        	0.0          	0.0    	0.0              	0.0          	0.0               	0.0       	0.0    	0.0                     	0.0              	0.0       	0.0 	0.0                 	0.0       	0.0       	0.0       	0.0          	0.0          	0.0             	0.0      	0.0      	0.0          	0.0       	0.0        	0.0       	0.0      	0.0        	0.0       	0.0            	0.0       	0.0       	0.0       	0.0       	0.0       	0.0        
