                 	bindweed	buttercup	crocus	daffodil	daisy	dandelion	foxglove	grape_hyacinths	japanese_anemone	lilypad	orchids	poppy	rose	sunflower	thistle	viola	yellow_wildflower
bindweed         	31.0    	2.0      	0.0   	2.0     	1.0  	1.0      	3.0     	1.0            	0.0             	5.0    	8.0    	0.0  	4.0 	1.0      	0.0    	3.0  	0.0              
buttercup        	2.0     	8.0      	0.0   	1.0     	2.0  	16.0     	2.0     	0.0            	0.0             	1.0    	0.0    	3.0  	5.0 	5.0      	1.0    	1.0  	4.0              
crocus           	2.0     	0.0      	3.0   	1.0     	0.0  	1.0      	6.0     	1.0            	0.0             	4.0    	0.0    	0.0  	0.0 	0.0      	1.0    	2.0  	0.0              
daffodil         	0.0     	2.0      	0.0   	4.0     	0.0  	0.0      	0.0     	0.0            	0.0             	3.0    	0.0    	1.0  	1.0 	0.0      	0.0    	0.0  	0.0              
daisy            	2.0     	1.0      	0.0   	0.0     	2.0  	0.0      	0.0     	0.0            	0.0             	2.0    	1.0    	0.0  	0.0 	0.0      	0.0    	0.0  	0.0              
dandelion        	1.0     	12.0     	0.0   	9.0     	5.0  	19.0     	3.0     	1.0            	0.0             	9.0    	0.0    	4.0  	5.0 	14.0     	3.0    	3.0  	0.0              
foxglove         	6.0     	1.0      	4.0   	1.0     	1.0  	0.0      	41.0    	3.0            	2.0             	9.0    	2.0    	2.0  	9.0 	3.0      	2.0    	11.0 	0.0              
grape_hyacinths  	1.0     	1.0      	4.0   	1.0     	0.0  	0.0      	3.0     	7.0            	0.0             	0.0    	2.0    	0.0  	0.0 	0.0      	7.0    	7.0  	0.0              
japanese_anemone 	0.0     	0.0      	1.0   	0.0     	1.0  	0.0      	0.0     	2.0            	5.0             	0.0    	0.0    	0.0  	0.0 	0.0      	1.0    	0.0  	0.0              
lilypad          	5.0     	5.0      	1.0   	4.0     	7.0  	6.0      	8.0     	5.0            	0.0             	46.0   	4.0    	6.0  	6.0 	0.0      	5.0    	8.0  	0.0              
orchids          	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	1.0    	0.0  	0.0 	0.0      	0.0    	1.0  	0.0              
poppy            	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	1.0 	0.0      	0.0    	1.0  	0.0              
rose             	1.0     	0.0      	0.0   	1.0     	1.0  	0.0      	2.0     	1.0            	0.0             	4.0    	0.0    	3.0  	1.0 	0.0      	0.0    	0.0  	0.0              
sunflower        	0.0     	3.0      	0.0   	2.0     	0.0  	1.0      	0.0     	0.0            	0.0             	3.0    	1.0    	0.0  	0.0 	4.0      	0.0    	1.0  	0.0              
thistle          	0.0     	1.0      	0.0   	0.0     	0.0  	0.0      	3.0     	0.0            	1.0             	1.0    	0.0    	0.0  	0.0 	0.0      	3.0    	1.0  	0.0              
viola            	9.0     	0.0      	7.0   	2.0     	3.0  	0.0      	11.0    	0.0            	0.0             	7.0    	1.0    	0.0  	5.0 	2.0      	0.0    	4.0  	0.0              
yellow_wildflower	0.0     	0.0      	0.0   	2.0     	1.0  	2.0      	0.0     	0.0            	0.0             	3.0    	0.0    	1.0  	1.0 	2.0      	1.0    	0.0  	23.0             

Accuracy = 32.21690590111643%

Balanced Accuracy = 27.802248979279266%
