                 	bindweed	buttercup	crocus	daffodil	daisy	dandelion	foxglove	grape_hyacinths	japanese_anemone	lilypad	orchids	poppy	rose	sunflower	thistle	viola	yellow_wildflower
bindweed         	47.0    	0.0      	6.0   	1.0     	3.0  	0.0      	2.0     	2.0            	0.0             	14.0   	8.0    	0.0  	3.0 	0.0      	3.0    	7.0  	0.0              
buttercup        	0.0     	21.0     	0.0   	8.0     	0.0  	18.0     	0.0     	0.0            	0.0             	2.0    	0.0    	0.0  	1.0 	1.0      	0.0    	1.0  	0.0              
crocus           	3.0     	0.0      	1.0   	1.0     	0.0  	0.0      	2.0     	1.0            	1.0             	2.0    	3.0    	0.0  	0.0 	0.0      	1.0    	0.0  	0.0              
daffodil         	0.0     	2.0      	1.0   	5.0     	0.0  	0.0      	0.0     	0.0            	0.0             	3.0    	0.0    	0.0  	0.0 	1.0      	0.0    	1.0  	0.0              
daisy            	5.0     	0.0      	1.0   	0.0     	16.0 	0.0      	0.0     	0.0            	0.0             	2.0    	0.0    	0.0  	1.0 	0.0      	0.0    	1.0  	0.0              
dandelion        	0.0     	4.0      	0.0   	10.0    	0.0  	18.0     	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	2.0 	1.0      	2.0    	2.0  	0.0              
foxglove         	2.0     	1.0      	2.0   	0.0     	1.0  	0.0      	38.0    	2.0            	0.0             	2.0    	1.0    	0.0  	1.0 	0.0      	4.0    	4.0  	0.0              
grape_hyacinths  	0.0     	0.0      	2.0   	0.0     	0.0  	0.0      	8.0     	14.0           	0.0             	0.0    	2.0    	0.0  	0.0 	1.0      	5.0    	6.0  	0.0              
japanese_anemone 	0.0     	0.0      	4.0   	0.0     	0.0  	0.0      	8.0     	0.0            	7.0             	4.0    	0.0    	0.0  	0.0 	0.0      	0.0    	4.0  	0.0              
lilypad          	5.0     	0.0      	7.0   	1.0     	3.0  	0.0      	16.0    	4.0            	0.0             	56.0   	4.0    	0.0  	8.0 	0.0      	0.0    	14.0 	0.0              
orchids          	1.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	2.0    	0.0  	0.0 	0.0      	0.0    	0.0  	0.0              
poppy            	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	2.0    	0.0    	12.0 	3.0 	1.0      	0.0    	0.0  	0.0              
rose             	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	3.0     	0.0            	0.0             	8.0    	1.0    	1.0  	6.0 	0.0      	0.0    	0.0  	0.0              
sunflower        	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	1.0 	14.0     	0.0    	0.0  	0.0              
thistle          	1.0     	0.0      	0.0   	0.0     	0.0  	0.0      	1.0     	0.0            	0.0             	0.0    	0.0    	0.0  	3.0 	0.0      	9.0    	0.0  	0.0              
viola            	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	1.0    	0.0    	0.0  	0.0 	0.0      	0.0    	9.0  	0.0              
yellow_wildflower	0.0     	2.0      	0.0   	4.0     	0.0  	1.0      	1.0     	0.0            	0.0             	0.0    	0.0    	3.0  	3.0 	5.0      	0.0    	2.0  	20.0             

Accuracy = 49.00332225913621%

Balanced Accuracy = 50.23782737808635%
