                 	bindweed	buttercup	crocus	daffodil	daisy	dandelion	foxglove	grape_hyacinths	japanese_anemone	lilypad	orchids	poppy	rose	sunflower	thistle	viola	yellow_wildflower
bindweed         	44.0    	0.0      	3.0   	1.0     	8.0  	0.0      	7.0     	3.0            	0.0             	15.0   	7.0    	0.0  	1.0 	0.0      	2.0    	5.0  	0.0              
buttercup        	0.0     	14.0     	0.0   	4.0     	0.0  	13.0     	1.0     	0.0            	0.0             	2.0    	0.0    	0.0  	0.0 	0.0      	1.0    	0.0  	2.0              
crocus           	3.0     	0.0      	9.0   	0.0     	1.0  	0.0      	4.0     	2.0            	0.0             	1.0    	1.0    	0.0  	2.0 	0.0      	1.0    	0.0  	0.0              
daffodil         	0.0     	1.0      	0.0   	9.0     	0.0  	0.0      	1.0     	0.0            	0.0             	1.0    	0.0    	0.0  	1.0 	1.0      	0.0    	0.0  	1.0              
daisy            	6.0     	0.0      	1.0   	0.0     	11.0 	0.0      	2.0     	0.0            	1.0             	8.0    	2.0    	0.0  	3.0 	1.0      	0.0    	1.0  	0.0              
dandelion        	0.0     	16.0     	0.0   	13.0    	0.0  	30.0     	0.0     	0.0            	0.0             	1.0    	0.0    	0.0  	7.0 	8.0      	0.0    	2.0  	4.0              
foxglove         	2.0     	0.0      	2.0   	0.0     	1.0  	0.0      	49.0    	6.0            	2.0             	5.0    	3.0    	0.0  	3.0 	0.0      	3.0    	12.0 	0.0              
grape_hyacinths  	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	1.0     	7.0            	0.0             	0.0    	0.0    	0.0  	0.0 	0.0      	0.0    	1.0  	0.0              
japanese_anemone 	0.0     	0.0      	1.0   	0.0     	0.0  	0.0      	3.0     	0.0            	3.0             	2.0    	0.0    	0.0  	0.0 	0.0      	0.0    	3.0  	0.0              
lilypad          	4.0     	0.0      	3.0   	1.0     	3.0  	0.0      	10.0    	1.0            	2.0             	57.0   	3.0    	0.0  	14.0	0.0      	3.0    	8.0  	0.0              
orchids          	0.0     	0.0      	1.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	4.0    	0.0  	0.0 	0.0      	0.0    	0.0  	0.0              
poppy            	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	1.0     	0.0            	0.0             	1.0    	0.0    	20.0 	3.0 	0.0      	0.0    	0.0  	0.0              
rose             	1.0     	0.0      	0.0   	0.0     	0.0  	0.0      	3.0     	1.0            	0.0             	4.0    	0.0    	0.0  	2.0 	0.0      	1.0    	0.0  	0.0              
sunflower        	0.0     	1.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	0.0 	16.0     	4.0    	0.0  	1.0              
thistle          	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	1.0            	0.0             	0.0    	0.0    	0.0  	0.0 	0.0      	7.0    	0.0  	0.0              
viola            	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	0.0 	0.0      	0.0    	11.0 	0.0              
yellow_wildflower	0.0     	4.0      	0.0   	2.0     	0.0  	3.0      	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	2.0 	5.0      	2.0    	0.0  	19.0             

Accuracy = 49.760765550239235%

Balanced Accuracy = 46.44822105050401%
