            	bedroom	coast	field	forest	highway	house	industrial	kitchen	livingroom	mountain	stadium	store	street	tallbuilding	underwater
bedroom     	30.0   	2.0  	1.0  	5.0   	2.0    	8.0  	6.0       	24.0   	28.0      	5.0     	2.0    	15.0 	2.0   	5.0         	0.0       
coast       	2.0    	22.0 	0.0  	2.0   	4.0    	2.0  	4.0       	1.0    	1.0       	4.0     	2.0    	0.0  	3.0   	13.0        	4.0       
field       	0.0    	6.0  	54.0 	9.0   	6.0    	18.0 	4.0       	3.0    	3.0       	6.0     	29.0   	3.0  	2.0   	3.0         	2.0       
forest      	5.0    	1.0  	5.0  	49.0  	1.0    	12.0 	3.0       	9.0    	10.0      	6.0     	8.0    	11.0 	10.0  	6.0         	5.0       
highway     	3.0    	23.0 	20.0 	1.0   	70.0   	4.0  	23.0      	1.0    	2.0       	16.0    	10.0   	1.0  	10.0  	4.0         	7.0       
house       	2.0    	2.0  	1.0  	4.0   	0.0    	14.0 	1.0       	4.0    	1.0       	8.0     	2.0    	3.0  	1.0   	0.0         	0.0       
industrial  	7.0    	17.0 	3.0  	2.0   	5.0    	9.0  	40.0      	4.0    	3.0       	7.0     	3.0    	0.0  	2.0   	29.0        	3.0       
kitchen     	13.0   	2.0  	1.0  	3.0   	0.0    	1.0  	0.0       	17.0   	10.0      	0.0     	2.0    	12.0 	1.0   	0.0         	2.0       
livingroom  	13.0   	0.0  	0.0  	2.0   	1.0    	1.0  	2.0       	17.0   	21.0      	0.0     	1.0    	12.0 	0.0   	1.0         	0.0       
mountain    	2.0    	9.0  	10.0 	3.0   	6.0    	12.0 	7.0       	0.0    	3.0       	24.0    	14.0   	0.0  	6.0   	9.0         	5.0       
stadium     	4.0    	6.0  	4.0  	2.0   	2.0    	6.0  	2.0       	0.0    	2.0       	5.0     	21.0   	1.0  	3.0   	1.0         	2.0       
store       	13.0   	0.0  	0.0  	6.0   	0.0    	2.0  	0.0       	17.0   	13.0      	1.0     	3.0    	41.0 	1.0   	1.0         	2.0       
street      	5.0    	4.0  	0.0  	10.0  	2.0    	6.0  	0.0       	2.0    	3.0       	6.0     	3.0    	1.0  	58.0  	8.0         	3.0       
tallbuilding	0.0    	1.0  	1.0  	1.0   	0.0    	4.0  	3.0       	1.0    	0.0       	3.0     	0.0    	0.0  	1.0   	14.0        	4.0       
underwater  	1.0    	5.0  	0.0  	1.0   	1.0    	1.0  	5.0       	0.0    	0.0       	9.0     	0.0    	0.0  	0.0   	6.0         	61.0      

Accuracy = 35.733333333333334%
