                 	bindweed	buttercup	crocus	daffodil	daisy	dandelion	foxglove	grape_hyacinths	japanese_anemone	lilypad	orchids	poppy	rose	sunflower	thistle	viola	yellow_wildflower
bindweed         	45.0    	0.0      	3.0   	0.0     	2.0  	0.0      	0.0     	2.0            	0.0             	5.0    	4.0    	0.0  	2.0 	0.0      	0.0    	3.0  	0.0              
buttercup        	0.0     	19.0     	0.0   	4.0     	0.0  	10.0     	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	1.0 	0.0      	0.0    	0.0  	0.0              
crocus           	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	0.0 	0.0      	0.0    	0.0  	0.0              
daffodil         	0.0     	5.0      	0.0   	12.0    	0.0  	1.0      	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	0.0 	1.0      	0.0    	0.0  	0.0              
daisy            	0.0     	0.0      	0.0   	0.0     	13.0 	0.0      	0.0     	0.0            	0.0             	1.0    	0.0    	0.0  	0.0 	0.0      	0.0    	0.0  	0.0              
dandelion        	0.0     	4.0      	0.0   	7.0     	0.0  	26.0     	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	2.0 	2.0      	0.0    	0.0  	2.0              
foxglove         	2.0     	0.0      	13.0  	0.0     	2.0  	0.0      	68.0    	12.0           	3.0             	9.0    	2.0    	1.0  	7.0 	3.0      	9.0    	17.0 	0.0              
grape_hyacinths  	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	4.0            	0.0             	0.0    	0.0    	0.0  	0.0 	0.0      	0.0    	0.0  	0.0              
japanese_anemone 	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	0.0 	0.0      	0.0    	0.0  	0.0              
lilypad          	16.0    	0.0      	8.0   	6.0     	6.0  	0.0      	11.0    	3.0            	5.0             	78.0   	7.0    	0.0  	13.0	1.0      	2.0    	13.0 	0.0              
orchids          	1.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	2.0            	0.0             	0.0    	8.0    	0.0  	0.0 	0.0      	0.0    	1.0  	0.0              
poppy            	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	0.0    	15.0 	0.0 	0.0      	0.0    	0.0  	0.0              
rose             	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	3.0    	0.0    	0.0  	6.0 	0.0      	0.0    	0.0  	0.0              
sunflower        	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	0.0 	14.0     	0.0    	0.0  	0.0              
thistle          	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	0.0 	0.0      	13.0   	0.0  	0.0              
viola            	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	0.0 	0.0      	0.0    	17.0 	0.0              
yellow_wildflower	0.0     	2.0      	0.0   	1.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	0.0    	0.0  	1.0 	3.0      	0.0    	0.0  	18.0             

Accuracy = 59.136212624584715%

Balanced Accuracy = 51.269627522207315%
