            	bedroom	coast	field	forest	highway	house	industrial	kitchen	livingroom	mountain	stadium	store	street	tallbuilding	underwater
bedroom     	12.0   	6.0  	4.0  	0.0   	9.0    	4.0  	5.0       	14.0   	11.0      	1.0     	2.0    	6.0  	8.0   	0.0         	0.0       
coast       	1.0    	10.0 	3.0  	1.0   	4.0    	6.0  	3.0       	2.0    	1.0       	7.0     	0.0    	0.0  	1.0   	8.0         	3.0       
field       	3.0    	5.0  	30.0 	2.0   	3.0    	9.0  	13.0      	0.0    	1.0       	6.0     	12.0   	0.0  	0.0   	1.0         	0.0       
forest      	6.0    	3.0  	13.0 	66.0  	2.0    	19.0 	6.0       	5.0    	7.0       	18.0    	20.0   	10.0 	3.0   	13.0        	13.0      
highway     	1.0    	13.0 	5.0  	1.0   	45.0   	6.0  	23.0      	1.0    	0.0       	6.0     	4.0    	2.0  	1.0   	8.0         	2.0       
house       	2.0    	1.0  	4.0  	1.0   	7.0    	4.0  	2.0       	1.0    	3.0       	1.0     	2.0    	2.0  	6.0   	2.0         	2.0       
industrial  	2.0    	9.0  	4.0  	0.0   	3.0    	1.0  	14.0      	0.0    	2.0       	11.0    	1.0    	1.0  	5.0   	8.0         	2.0       
kitchen     	22.0   	4.0  	4.0  	2.0   	5.0    	1.0  	0.0       	18.0   	18.0      	0.0     	0.0    	7.0  	2.0   	2.0         	0.0       
livingroom  	15.0   	4.0  	4.0  	2.0   	0.0    	1.0  	6.0       	22.0   	22.0      	1.0     	0.0    	6.0  	0.0   	3.0         	0.0       
mountain    	0.0    	6.0  	7.0  	2.0   	7.0    	3.0  	4.0       	0.0    	0.0       	5.0     	9.0    	0.0  	6.0   	6.0         	0.0       
stadium     	6.0    	4.0  	6.0  	4.0   	2.0    	4.0  	4.0       	5.0    	4.0       	8.0     	25.0   	5.0  	3.0   	0.0         	1.0       
store       	24.0   	0.0  	5.0  	6.0   	2.0    	7.0  	1.0       	25.0   	27.0      	3.0     	9.0    	58.0 	5.0   	4.0         	1.0       
street      	5.0    	8.0  	7.0  	4.0   	6.0    	22.0 	4.0       	6.0    	3.0       	9.0     	9.0    	3.0  	54.0  	6.0         	1.0       
tallbuilding	1.0    	16.0 	2.0  	5.0   	3.0    	9.0  	10.0      	1.0    	0.0       	8.0     	2.0    	0.0  	2.0   	21.0        	9.0       
underwater  	0.0    	11.0 	2.0  	4.0   	2.0    	4.0  	5.0       	0.0    	1.0       	16.0    	5.0    	0.0  	4.0   	18.0        	66.0      

Accuracy = 30.0%
