            	bedroom	coast	field	forest	highway	house	industrial	kitchen	livingroom	mountain	stadium	store	street	tallbuilding	underwater
bedroom     	19.0   	2.0  	1.0  	5.0   	1.0    	3.0  	1.0       	18.0   	19.0      	1.0     	0.0    	8.0  	1.0   	2.0         	0.0       
coast       	3.0    	16.0 	1.0  	2.0   	2.0    	3.0  	5.0       	0.0    	0.0       	3.0     	3.0    	1.0  	3.0   	5.0         	2.0       
field       	2.0    	10.0 	45.0 	3.0   	7.0    	21.0 	3.0       	3.0    	4.0       	7.0     	28.0   	4.0  	2.0   	3.0         	2.0       
forest      	17.0   	3.0  	10.0 	71.0  	5.0    	13.0 	8.0       	24.0   	24.0      	13.0    	18.0   	44.0 	10.0  	12.0        	20.0      
highway     	7.0    	33.0 	23.0 	2.0   	72.0   	7.0  	32.0      	2.0    	9.0       	17.0    	12.0   	1.0  	9.0   	13.0        	6.0       
house       	0.0    	0.0  	0.0  	0.0   	0.0    	4.0  	0.0       	0.0    	0.0       	0.0     	1.0    	0.0  	0.0   	0.0         	0.0       
industrial  	16.0   	17.0 	6.0  	4.0   	4.0    	19.0 	45.0      	11.0   	11.0      	16.0    	5.0    	3.0  	7.0   	41.0        	10.0      
kitchen     	11.0   	2.0  	1.0  	0.0   	1.0    	3.0  	1.0       	17.0   	14.0      	1.0     	0.0    	10.0 	1.0   	0.0         	0.0       
livingroom  	8.0    	0.0  	0.0  	0.0   	0.0    	1.0  	1.0       	9.0    	9.0       	0.0     	0.0    	5.0  	1.0   	1.0         	0.0       
mountain    	3.0    	6.0  	10.0 	4.0   	3.0    	11.0 	4.0       	1.0    	1.0       	28.0    	13.0   	1.0  	7.0   	7.0         	5.0       
stadium     	2.0    	6.0  	2.0  	1.0   	1.0    	6.0  	0.0       	1.0    	1.0       	5.0     	12.0   	3.0  	3.0   	4.0         	1.0       
store       	6.0    	0.0  	0.0  	3.0   	0.0    	1.0  	0.0       	11.0   	5.0       	0.0     	1.0    	17.0 	2.0   	0.0         	0.0       
street      	6.0    	5.0  	1.0  	4.0   	4.0    	7.0  	0.0       	3.0    	3.0       	3.0     	6.0    	3.0  	54.0  	5.0         	0.0       
tallbuilding	0.0    	0.0  	0.0  	1.0   	0.0    	0.0  	0.0       	0.0    	0.0       	0.0     	1.0    	0.0  	0.0   	2.0         	0.0       
underwater  	0.0    	0.0  	0.0  	0.0   	0.0    	1.0  	0.0       	0.0    	0.0       	6.0     	0.0    	0.0  	0.0   	5.0         	54.0      

Accuracy = 31.0%
